customer_id,first_name,last_name,email,signup_date,city,segment
1409,Kyle,Harris,kyle.harris1409@example.com,2026-01-20,Hilltown,corporate
1806,Kevin,Webb,kevin.webb1806@example.com,2024-12-02,Port Melanie,corporate
1974,Kim,Mccarthy,kim.mccarthy1974@example.com,2025-04-14,Marymouth,corporate
3105,Richard,Nelson,richard.nelson3105@example.com,2025-09-09,Williamschester,corporate
306,Brandy,Williams,brandy.williams306@example.com,2025-02-16,Harperfort,home_office
3112,Brooke,Fernandez,brooke.fernandez3112@example.com,2025-03-28,Danielfort,consumer
3857,James,Cain,james.cain3857@example.com,2025-08-02,Edwinside,consumer
3287,Randall,Reilly,randall.reilly3287@example.com,2025-10-13,Port Catherine,consumer
1663,Barbara,Gomez,barbara.gomez1663@example.com,2024-09-06,Lake Kelsey,corporate
4487,Vincent,Brady,vincent.brady4487@example.com,2026-05-01,Allenstad,home_office
1988,Joshua,Phelps,joshua.phelps1988@example.com,2025-12-03,West Marymouth,corporate
3358,Elizabeth,Finley,elizabeth.finley3358@example.com,2024-08-15,Bennettmouth,corporate
437,Barbara,Lloyd,barbara.lloyd437@example.com,2025-09-03,West Mark,corporate
1557,Emily,Macias,emily.macias1557@example.com,2025-08-23,East Charles,home_office
294,Amanda,Shaw,amanda.shaw294@example.com,2024-11-20,East Donna,corporate
2413,Nicholas,Johnson,nicholas.johnson2413@example.com,2025-06-13,Gutierreztown,corporate
2850,Amber,Morgan,amber.morgan2850@example.com,2025-10-12,Oconnellmouth,consumer
3066,James,Spencer,james.spencer3066@example.com,2025-05-02,Mooremouth,consumer
1875,Victoria,Hester,victoria.hester1875@example.com,2024-07-25,Amberton,home_office
4550,William,Summers,william.summers4550@example.com,2025-05-08,Lake Rachelland,corporate
3297,Brad,Ramirez,brad.ramirez3297@example.com,2025-06-14,Patrickland,home_office
4668,Bobby,Riley,bobby.riley4668@example.com,2025-01-28,Lake Wayneshire,home_office
995,Patrick,Stewart,patrick.stewart995@example.com,2025-08-28,North Samanthastad,consumer
4433,Tiffany,Yates,tiffany.yates4433@example.com,2026-04-13,New Jesseville,corporate
4671,Jeffrey,Hansen,jeffrey.hansen4671@example.com,2025-08-29,Lunafurt,corporate
2605,Angela,Ellis,angela.ellis2605@example.com,2025-03-20,Jameston,home_office
4350,Vincent,Clark,vincent.clark4350@example.com,2025-07-30,New Jacobport,home_office
2075,Michelle,Cowan,michelle.cowan2075@example.com,2026-05-13,Joneschester,home_office
3780,Jose,Simmons,jose.simmons3780@example.com,2025-03-06,Mathischester,corporate
3269,Crystal,Reyes,crystal.reyes3269@example.com,2025-03-09,North Stephanie,consumer
136,Sabrina,White,sabrina.white136@example.com,2025-10-10,Waltersfort,home_office
416,Stacey,Harris,stacey.harris416@example.com,2025-03-14,South Tanya,home_office
973,Michelle,English,michelle.english973@example.com,2026-01-04,Hansonmouth,consumer
725,Deborah,Jenkins,deborah.jenkins725@example.com,2025-01-18,East Ashleyburgh,home_office
1184,Danielle,Haynes,danielle.haynes1184@example.com,2026-06-14,New Michellemouth,consumer
2176,Sandra,Rogers,sandra.rogers2176@example.com,2026-06-06,West Matthew,corporate
2622,Amber,Baker,amber.baker2622@example.com,2025-10-14,North Matthew,corporate
1965,Michael,Hansen,michael.hansen1965@example.com,2025-01-04,Courtneyborough,home_office
3990,Robert,Kelly,robert.kelly3990@example.com,2025-03-17,Cohenchester,home_office
4356,David,Smith,david.smith4356@example.com,2026-04-03,Lake Nicoleberg,consumer
3488,Sarah,Pope,sarah.pope3488@example.com,2025-08-29,Harrisfurt,consumer
868,Andrew,Aguilar,andrew.aguilar868@example.com,2025-12-10,West Georgeport,consumer
1845,Jacqueline,Dunn,jacqueline.dunn1845@example.com,2024-10-10,Wilsonstad,home_office
2313,David,Kent,david.kent2313@example.com,2025-05-27,New Andrea,consumer
3832,Jason,Carlson,jason.carlson3832@example.com,2025-10-10,East Summermouth,home_office
3320,Sarah,Smith,sarah.smith3320@example.com,2026-05-08,Thomasfort,consumer
55,Dana,Green,dana.green55@example.com,2026-02-08,Arnoldchester,consumer
2557,Edward,Patterson,edward.patterson2557@example.com,2026-06-09,Port Lindseyberg,corporate
1469,Karen,Glass,karen.glass1469@example.com,2026-05-19,North Daisystad,corporate
418,Carlos,Duncan,carlos.duncan.dup@example.com,2025-01-06,West Donald,corporate
3884,Elizabeth,Wright,elizabeth.wright3884@example.com,2025-12-12,South Brandonfort,corporate
1018,Peggy,Mccoy,peggy.mccoy1018@example.com,2025-04-18,Millermouth,consumer
3245,Wendy,Reed,wendy.reed3245@example.com,2025-12-15,Lake Lisa,corporate
3042,Donna,Sawyer,donna.sawyer3042@example.com,2026-02-04,Larashire,corporate
2462,Cory,Hughes,cory.hughes2462@example.com,2025-11-16,East Elizabethhaven,consumer
1950,Cody,Jackson,cody.jackson1950@example.com,2026-05-15,Watkinsland,consumer
3164,Devin,Bowen,devin.bowen3164@example.com,2025-07-18,North Brian,consumer
991,Jessica,Jackson,jessica.jackson991@example.com,2025-10-04,Brianview,corporate
3309,Marie,Johnson,marie.johnson3309@example.com,2026-03-19,Jenniferberg,consumer
1695,Linda,Contreras,linda.contreras1695@example.com,2026-05-05,Lewismouth,home_office
3043,Beth,Mcneil,beth.mcneil3043@example.com,2025-08-26,Port Hannah,consumer
2018,Melvin,Ruiz,melvin.ruiz2018@example.com,2025-12-28,Halefort,consumer
4254,Mary,Wallace,mary.wallace4254@example.com,2026-03-12,New Kennethstad,consumer
3236,Randy,Solomon,randy.solomon3236@example.com,2025-09-14,Williamsburgh,home_office
1225,Julia,Payne,julia.payne1225@example.com,2025-10-23,Davisview,consumer
3968,Sonya,Daniel,sonya.daniel3968@example.com,2025-02-17,Adamsfort,corporate
4519,Theodore,Callahan,theodore.callahan4519@example.com,2025-03-25,Bethton,home_office
3572,Paul,Williams,paul.williams3572@example.com,2024-07-30,Gabriellebury,consumer
4664,Mark,Forbes,mark.forbes4664@example.com,2026-05-31,Lake Sarahhaven,consumer
3175,Raymond,Richards,raymond.richards3175@example.com,2025-10-30,East Katrina,corporate
4236,Michael,Galvan,michael.galvan4236@example.com,2026-05-02,West Danielleberg,corporate
3653,Robert,Mack,robert.mack3653@example.com,2024-11-10,Wagnershire,corporate
310,Joshua,Hays,joshua.hays310@example.com,2025-12-23,East Theresafurt,consumer
4387,Ana,Lopez,ana.lopez4387@example.com,2025-09-18,Susanside,consumer
2524,Patrick,Evans,patrick.evans2524@example.com,2024-07-31,Tonytown,home_office
4473,Amanda,Payne,amanda.payne4473@example.com,2025-04-19,East Anthony,consumer
3394,Sarah,Mills,sarah.mills3394@example.com,2026-05-09,Johnland,home_office
1592,Robert,Dawson,robert.dawson1592@example.com,2026-06-05,Patriciamouth,consumer
898,Christie,Brown,christie.brown898@example.com,2025-08-18,South Maria,home_office
4234,Alexis,Ramirez,alexis.ramirez4234@example.com,2025-04-25,Brownborough,home_office
3601,Jane,Hughes,jane.hughes3601@example.com,2025-04-11,Cisnerosberg,home_office
3950,Cameron,Jensen,cameron.jensen3950@example.com,2025-01-06,New Joshua,home_office
713,Joe,Vang,joe.vang.dup@example.com,2024-12-28,Kathrynberg,corporate
210,Ashley,Morales,ashley.morales210@example.com,2024-10-31,North Julieborough,corporate
4105,Linda,Shaw,linda.shaw4105@example.com,2024-08-28,Lake Heatherfort,corporate
4995,Ronald,Lamb,ronald.lamb4995@example.com,2025-04-11,North Jacqueline,corporate
2845,Katherine,Smith,katherine.smith2845@example.com,2025-04-19,East Megan,corporate
2531,Michael,Hunt,michael.hunt2531@example.com,2025-07-18,Port Melanieland,consumer
4721,Timothy,Wood,timothy.wood4721@example.com,2024-11-08,Kerryport,consumer
549,Jennifer,Williams,jennifer.williams549@example.com,2025-06-18,Costachester,home_office
1812,Pedro,Carpenter,pedro.carpenter1812@example.com,2024-08-08,Williamsstad,consumer
3952,Pamela,Smith,pamela.smith3952@example.com,2025-12-17,Riveramouth,home_office
1360,Zachary,Sandoval,zachary.sandoval1360@example.com,2024-11-02,East Williamside,consumer
4992,Christina,Montes,christina.montes4992@example.com,2025-06-27,New Sherribury,corporate
2300,Steven,Morgan,steven.morgan2300@example.com,2025-12-11,Andersonhaven,consumer
609,Tracy,Gallagher,tracy.gallagher609@example.com,2024-09-19,New Ryan,consumer
2525,Jason,Hampton,jason.hampton2525@example.com,2026-02-15,South Michelle,corporate
2944,Jonathan,Lynch,jonathan.lynch2944@example.com,2024-08-11,Deborahfort,consumer
2252,Felicia,Moore,felicia.moore2252@example.com,2025-04-29,South Jasmine,consumer
3706,Karen,Mathis,karen.mathis3706@example.com,2024-07-29,North Amy,corporate
151,Molly,Pollard,molly.pollard151@example.com,2025-01-14,Hallchester,consumer
1354,Nichole,Harvey,nichole.harvey1354@example.com,2025-04-02,South Zacharyshire,home_office
1722,Gloria,Clay,gloria.clay1722@example.com,2025-02-16,Garciashire,corporate
640,Timothy,Alvarado,timothy.alvarado640@example.com,2025-11-23,Hernandezside,corporate
2940,Brent,Chapman,brent.chapman2940@example.com,2025-12-12,Martinezview,consumer
1082,Jamie,Mann,jamie.mann1082@example.com,2025-12-11,Tiffanyberg,consumer
2843,Austin,Gomez,austin.gomez2843@example.com,2025-07-02,Gilbertville,corporate
3451,Kristin,Barker,kristin.barker3451@example.com,2025-01-15,South Sharon,home_office
243,Carla,Moore,carla.moore243@example.com,2024-11-30,Lake Samuel,consumer
413,Jennifer,Simpson,jennifer.simpson413@example.com,2025-11-03,South Daniel,corporate
3819,Sean,Williams,sean.williams3819@example.com,2024-08-06,New Danielleland,consumer
928,Manuel,Dalton,manuel.dalton.dup@example.com,2026-07-10,West Jackson,corporate
34,Richard,Davis,richard.davis34@example.com,2025-12-06,Gomezchester,home_office
3615,Amanda,Kaiser,amanda.kaiser3615@example.com,2025-05-23,Michelletown,home_office
4628,Jacob,Obrien,jacob.obrien4628@example.com,2025-02-17,North Sarahburgh,consumer
1623,Jeffrey,Huber,jeffrey.huber1623@example.com,2025-02-16,Charlesmouth,home_office
4503,Rebecca,Williams,rebecca.williams4503@example.com,2026-02-09,New Clinton,corporate
3350,Diane,Moore,diane.moore3350@example.com,2026-05-25,Robertview,consumer
842,Andrea,Shea,andrea.shea842@example.com,2026-04-30,Robertchester,consumer
3697,Ruth,Smith,ruth.smith3697@example.com,2025-01-01,Lake Raymondmouth,consumer
2527,Allen,Perez,allen.perez2527@example.com,2025-06-19,Tommymouth,consumer
1977,Heather,King,heather.king1977@example.com,2024-10-14,Pearsonburgh,consumer
2032,Jennifer,Richard,jennifer.richard2032@example.com,2025-04-22,Port Haroldchester,consumer
3048,Adrienne,Allen,adrienne.allen3048@example.com,2026-03-20,East Theresaside,corporate
4410,Judith,Perez,judith.perez4410@example.com,2026-07-12,Dianachester,corporate
130,Jeffrey,Hernandez,jeffrey.hernandez130@example.com,2025-02-04,North Brian,corporate
1104,Joshua,Gamble,joshua.gamble1104@example.com,2024-09-02,Biancashire,consumer
4732,Steven,Trevino,steven.trevino4732@example.com,2026-02-28,Christinaview,home_office
3364,Molly,Stephens,molly.stephens3364@example.com,2025-09-02,Esparzaport,corporate
80,Patricia,Dalton,patricia.dalton80@example.com,2026-05-31,Port Ronaldburgh,corporate
3457,Michael,Jennings,michael.jennings3457@example.com,2024-12-06,Joshuafurt,consumer
29,Wanda,Santos,wanda.santos29@example.com,2025-06-18,Martinezbury,consumer
3538,Diana,Simpson,diana.simpson3538@example.com,2024-12-04,North Lindaview,corporate
1401,Stacy,Brown,stacy.brown1401@example.com,2025-05-09,South Daniel,corporate
44,Christopher,Lopez,christopher.lopez44@example.com,2025-10-18,Lake Michellefurt,consumer
4259,Richard,Jones,richard.jones4259@example.com,2026-01-24,East Davidland,corporate
2257,Marie,Bowers,marie.bowers2257@example.com,2024-10-11,West Johnberg,home_office
4549,Larry,Fields,larry.fields4549@example.com,2025-03-03,Veronicaton,consumer
1246,Michele,Ryan,michele.ryan1246@example.com,2024-09-17,Kaylaberg,corporate
3327,Brian,Olsen,brian.olsen3327@example.com,2026-01-24,Hendricksview,home_office
4384,Danielle,Lowe,danielle.lowe4384@example.com,2026-01-18,South Kellyshire,home_office
1363,Carol,Rivera,carol.rivera1363@example.com,2025-10-05,Christinachester,home_office
3805,Joan,Weeks,joan.weeks3805@example.com,2025-08-31,Shortport,corporate
4330,Angela,Espinoza,angela.espinoza4330@example.com,2024-11-19,Leonfort,home_office
4464,Lisa,Thompson,lisa.thompson4464@example.com,2024-10-22,Newtonhaven,corporate
2724,Lori,Osborn,lori.osborn2724@example.com,2024-08-04,West Kimberlyville,corporate
81,Linda,Dominguez,linda.dominguez81@example.com,2025-07-08,New Johnville,consumer
983,Heather,Harper,heather.harper983@example.com,2025-03-06,Bryanfort,consumer
4289,Debra,Moreno,debra.moreno4289@example.com,2024-09-23,Shawnberg,corporate
1542,Joshua,Garcia,joshua.garcia1542@example.com,2025-01-01,Lynnville,consumer
875,Colleen,Young,colleen.young875@example.com,2025-08-06,Lisaview,consumer
1872,Jordan,Simpson,jordan.simpson1872@example.com,2025-01-05,East Monica,corporate
1662,Victor,Gibson,victor.gibson1662@example.com,2024-11-21,Evanview,home_office
3192,Jodi,Conrad,jodi.conrad3192@example.com,2024-11-04,Lake Larry,home_office
3603,Melissa,Ramos,melissa.ramos3603@example.com,2026-05-09,Kristyport,home_office
3168,Julie,Jones,julie.jones3168@example.com,2025-04-18,Lake Alejandro,consumer
789,Jason,Sanders,jason.sanders789@example.com,2024-09-25,South Amytown,consumer
3238,Patrick,Garcia,patrick.garcia3238@example.com,2025-07-29,East Randystad,home_office
4801,Larry,Hull,larry.hull4801@example.com,2025-05-02,Port Hannah,home_office
4338,Jenna,Hamilton,jenna.hamilton4338@example.com,2026-03-04,Powellmouth,home_office
803,Kathy,Kent,kathy.kent803@example.com,2026-04-01,Justinside,corporate
4421,Leroy,Reid,leroy.reid4421@example.com,2026-06-29,Elizabethtown,corporate
1891,Justin,Edwards,justin.edwards1891@example.com,2024-09-14,Fisherberg,home_office
4404,Nicole,Vaughn,nicole.vaughn4404@example.com,2026-03-31,Kevinstad,home_office
4467,Kathleen,Williams,kathleen.williams4467@example.com,2025-11-28,West Alanborough,home_office
1827,Crystal,Barnett,crystal.barnett1827@example.com,2024-12-18,Port Donaldtown,home_office
550,Trevor,Gray,trevor.gray550@example.com,2025-09-10,Garciafort,home_office
726,Dennis,Hunt,dennis.hunt726@example.com,2026-06-04,North Gabriel,home_office
241,Tom,Perez,tom.perez241@example.com,2024-10-27,North Kenneth,home_office
1419,William,Murray,william.murray1419@example.com,2024-09-07,Jamesfurt,corporate
3577,Kathryn,Ramirez,kathryn.ramirez3577@example.com,2025-05-28,South Marcshire,corporate
910,Christopher,Greene,christopher.greene910@example.com,2025-01-19,Christineside,home_office
663,Anna,Aguilar,anna.aguilar663@example.com,2025-12-13,Craigside,corporate
2547,Kevin,Kaufman,kevin.kaufman2547@example.com,2025-05-23,New Kevinview,corporate
3631,Sonia,Rodriguez,sonia.rodriguez3631@example.com,2024-08-03,Port Christinaberg,consumer
3945,Misty,Dorsey,misty.dorsey3945@example.com,2025-03-20,Port Frank,consumer
3692,Shannon,Stephenson,shannon.stephenson3692@example.com,2026-02-22,East Lindaland,home_office
4504,Amy,Jackson,amy.jackson4504@example.com,2025-08-15,West Timothy,corporate
2926,Angela,Garcia,angela.garcia2926@example.com,2025-05-18,Kathrynland,consumer
885,Scott,Peck,scott.peck885@example.com,2026-06-07,Edwinborough,consumer
3065,Bobby,Gilbert,bobby.gilbert3065@example.com,2025-04-24,South Robert,corporate
